0,1,2,3,4,5,6,7,8
,,,,,,,,
,,,,,,,,
Gross Domestic Product At 2010 Constant Basic Prices (%),,,,,,,,
,,,,,,,,
,,,,,,,,
,2023,,,,,2024,,
,Q1,Q2,Q3,Q4,Total,Q1,Q2,Q3
ACTIVITY SECTOR,,,,,,,,
,,,,,,,,
       15. Chemical and  Pharmaceutical Products ,6.219184583867365,6.4081454084047085,6.772525249193406,6.155158263487204,6.401393866681637,2.5514493257771997,2.3516348765400874,3.9694224825440383
       16. Non-Metallic Products,2.4282807358883662,2.154820431295801,2.2210950399724094,-1.1141932872028915,1.4148692146254582,2.3219265793897437,1.5718426419193188,1.7507232221744218
       17. Plastic and Rubber products,1.01451128688812,2.663214800333513,-4.21413620103711,0.9411979301565454,0.17218881614144976,1.5658382937475235,1.2525878852416072,-3.7706443539536116
       18. Electrical and Electronics,-0.8084830609001559,1.0601762373729784,2.788195652318781,3.1475216214171375,1.773036597037625,-0.6149717763434204,0.9757856351472416,2.613354167217685
"       19. Basic metal , Iron and Steel",-0.4565511863244165,2.343390246212418,-0.9559024309799935,-1.1141932872028804,-0.1265252720784149,0.5711410173014686,1.0688642634504752,-1.4179934121645976
       20. Motor vehicles &  assembly,5.406618096714277,-3.9311650321078417,2.866985093530161,4.93291239147593,2.5021484493610524,4.595854214396411,-2.3485826057515147,1.538911915337482
       21. Other Manufacturing,-2.970420840089394,2.367521850805354,-2.116885423487591,-1.1686289753574552,-1.1761016645381428,-0.6233713839651878,1.1751673950333164,1.0688202607629815
"22. ELECTRICITY, GAS ,STEAM AND AIR CONDITIONING SUPPLY",9.526485209402535,6.099336459437921,1.9052872688929856,6.166329742322985,5.562505961418607,-5.429952911463154,5.958644706784999,3.2272517157890146
"23. WATER SUPPLY,SEWERAGE, WASTE MANAGEMENT AND REMEDIATION",5.571675420798328,20.563327420148703,11.934261209882857,7.440198204497861,12.645970468322542,6.954475123162696,8.20445585357692,9.777873050867857
24. CONSTRUCTION,3.273370374377893,3.419401804137401,3.887767211937687,3.6952197960254285,3.5671697613963715,-2.141375353989461,1.045962267666467,2.9148774768547048
25.  TRADE,1.3065519803745929,2.4141250313096663,1.5260533610381488,1.398143952320452,1.6550388764679402,1.2278690428210615,0.7005982592631632,0.6468453160223042
26. ACCOMMODATION AND FOOD SERVICES,3.590957828307184,3.388010996875912,3.566513288370099,3.2770261054824834,3.4630997425765253,2.8034750615608894,2.12553665071189,4.436331288545925
TRANSPORTATION AND STORAGE,9.364554952688597,-50.6432568056156,-35.84828344115155,-29.00327631024392,-30.168034759624483,3.3270461116934547,-13.530554282252726,12.14571858796971
        27.  Road Transport,8.020439805210412,-55.14465942387608,-43.65362663273326,-33.757452264399554,-35.907264215008375,5.581634179574579,-15.87729683154584,17.915751630459596
        28.  Rail Transport & Pipelines,-49.07920725753574,16.877797129566364,18.234567891233986,10.387462049039865,-1.9702515724746572,66.6250739997329,57.13576658194561,19.681256948130432
